Index: 60, Predicted: T-shirt/top
Index: 7139, Predicted: Bag
Index: 7165, Predicted: Dress
Index: 7170, Predicted: T-shirt/top
Index: 7181, Predicted: Dress
Index: 7195, Predicted: T-shirt/top
Index: 7203, Predicted: Pullover
Index: 7214, Predicted: Dress
Index: 7223, Predicted: Coat
Index: 7232, Predicted: Pullover
Index: 7238, Predicted: Pullover
Index: 7257, Predicted: Dress
Index: 7260, Predicted: T-shirt/top
Index: 7277, Predicted: Pullover
Index: 7286, Predicted: T-shirt/top
Index: 7336, Predicted: Coat
Index: 7352, Predicted: Coat
Index: 7364, Predicted: T-shirt/top
Index: 7372, Predicted: Coat
Index: 7385, Predicted: Pullover
Index: 7396, Predicted: Coat
Index: 7402, Predicted: T-shirt/top
Index: 7413, Predicted: Pullover
Index: 7457, Predicted: Pullover
Index: 7465, Predicted: T-shirt/top
Index: 7475, Predicted: T-shirt/top
Index: 7486, Predicted: T-shirt/top
Index: 7494, Predicted: T-shirt/top
Index: 7612, Predicted: T-shirt/top
Index: 7640, Predicted: Pullover
Index: 7714, Predicted: T-shirt/top
Index: 7734, Predicted: Pullover
Index: 7735, Predicted: Trouser
Index: 7765, Predicted: T-shirt/top
Index: 7801, Predicted: Coat
Index: 7835, Predicted: Coat
Index: 7841, Predicted: Bag
Index: 7852, Predicted: Dress
Index: 7870, Predicted: T-shirt/top
Index: 7904, Predicted: Pullover
Index: 7922, Predicted: T-shirt/top
Index: 7944, Predicted: Coat
Index: 7945, Predicted: T-shirt/top
Index: 7954, Predicted: Pullover
Index: 7993, Predicted: Coat
Index: 8041, Predicted: Pullover
Index: 8080, Predicted: T-shirt/top
Index: 8094, Predicted: Pullover
Index: 8122, Predicted: Coat
Index: 8176, Predicted: Dress
Index: 8185, Predicted: T-shirt/top
Index: 8220, Predicted: T-shirt/top
Index: 8258, Predicted: T-shirt/top
Index: 8282, Predicted: Pullover
Index: 8290, Predicted: Coat
Index: 8294, Predicted: Pullover
Index: 8308, Predicted: T-shirt/top
Index: 8386, Predicted: Coat
Index: 8391, Predicted: Coat
Index: 8394, Predicted: T-shirt/top
Index: 8458, Predicted: T-shirt/top
Index: 8486, Predicted: T-shirt/top
Index: 8506, Predicted: Coat
Index: 8513, Predicted: Pullover
Index: 8515, Predicted: Pullover
Index: 8566, Predicted: T-shirt/top
Index: 8596, Predicted: Pullover
Index: 8601, Predicted: Bag
Index: 8637, Predicted: Bag
Index: 8638, Predicted: T-shirt/top
Index: 8646, Predicted: Coat
Index: 8654, Predicted: T-shirt/top
Index: 8663, Predicted: Coat
Index: 8669, Predicted: T-shirt/top
Index: 8678, Predicted: Coat
Index: 8690, Predicted: Coat
Index: 8714, Predicted: Coat
Index: 8731, Predicted: Pullover
Index: 8740, Predicted: T-shirt/top
Index: 8787, Predicted: T-shirt/top
Index: 8797, Predicted: T-shirt/top
Index: 8863, Predicted: T-shirt/top
Index: 8893, Predicted: Pullover
Index: 8917, Predicted: Dress
Index: 8944, Predicted: Coat
Index: 8945, Predicted: Pullover
Index: 8953, Predicted: T-shirt/top
Index: 8960, Predicted: T-shirt/top
Index: 8993, Predicted: Pullover
Index: 9014, Predicted: T-shirt/top
Index: 9017, Predicted: Pullover
Index: 9024, Predicted: Bag
Index: 9034, Predicted: T-shirt/top
Index: 9039, Predicted: Coat
Index: 9040, Predicted: Dress
Index: 9056, Predicted: Pullover
Index: 9064, Predicted: Trouser
Index: 9098, Predicted: T-shirt/top
Index: 9123, Predicted: T-shirt/top
Index: 9127, Predicted: Bag
Index: 9267, Predicted: T-shirt/top
Index: 9275, Predicted: Trouser
Index: 9280, Predicted: Dress
Index: 9309, Predicted: T-shirt/top
Index: 9348, Predicted: Coat
Index: 9351, Predicted: Pullover
Index: 9369, Predicted: Pullover
Index: 9397, Predicted: Pullover
Index: 9419, Predicted: Coat
Index: 9477, Predicted: Coat
Index: 9518, Predicted: Coat
Index: 9536, Predicted: T-shirt/top
Index: 9545, Predicted: T-shirt/top
Index: 9554, Predicted: Coat
Index: 9564, Predicted: T-shirt/top
Index: 9589, Predicted: Coat
Index: 9621, Predicted: Dress
Index: 9632, Predicted: Pullover
Index: 9646, Predicted: Coat
Index: 9650, Predicted: T-shirt/top
Index: 9653, Predicted: Coat
Index: 9665, Predicted: Bag
Index: 9693, Predicted: T-shirt/top
Index: 9715, Predicted: T-shirt/top
Index: 9733, Predicted: Coat
Index: 9741, Predicted: Bag
Index: 9803, Predicted: Coat
Index: 9809, Predicted: T-shirt/top
Index: 9815, Predicted: Dress
Index: 9836, Predicted: Pullover
Index: 9840, Predicted: Pullover
Index: 9847, Predicted: Coat
Index: 9878, Predicted: T-shirt/top
Index: 9908, Predicted: Pullover
Index: 9939, Predicted: Dress
